FirstName,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,Projection_dfn_perturbed,Projection_fc,Salary,Team,TierRank
Golden,Det@Ind 04:25PM ET,7147732,Tate,Golden Tate,Golden Tate (7147732),IND,WR,18.45,16.7,16.7,16.47,7300,DET,3.0
Derek,Oak@NO 01:00PM ET,7147216,Carr,Derek Carr,Derek Carr (7147216),NO,QB,19.84,22.1,22.1,22.27,7300,OAK,2.0
Ezekiel,NYG@Dal 04:25PM ET,7147440,Elliott,Ezekiel Elliott,Ezekiel Elliott (7147440),NYG,RB,17.07,16.9,16.9,20.41,7300,DAL,1.0
Matthew,Det@Ind 04:25PM ET,7147265,Stafford,Matthew Stafford,Matthew Stafford (7147265),IND,QB,18.45,21.6,21.6,20.52,7200,DET,3.0
Blake,GB@Jax 01:00PM ET,7147244,Bortles,Blake Bortles,Blake Bortles (7147244),GB,QB,19.02,18.1,18.1,21.32,7200,JAX,6.0
Amari,Oak@NO 01:00PM ET,7147576,Cooper,Amari Cooper,Amari Cooper (7147576),NO,WR,19.09,17.4,17.4,18.3,7200,OAK,3.0
Carson,NE@Ari 08:30PM ET,7147271,Palmer,Carson Palmer,Carson Palmer (7147271),NE,QB,19.51,19.3,19.3,20.95,7100,ARI,5.0
Matt,TB@Atl 01:00PM ET,7147183,Ryan,Matt Ryan,Matt Ryan (7147183),TB,QB,17.7,20.1,20.1,19.53,7100,ATL,4.0
Jamaal,SD@KC 01:00PM ET,7147353,Charles,Jamaal Charles,Jamaal Charles (7147353),SD,RB,0.0,0.0,0.0,0.0,7100,KC,0.0
Philip,SD@KC 01:00PM ET,7147221,Rivers,Philip Rivers,Philip Rivers (7147221),KC,QB,16.84,17.1,17.1,18.98,7000,SD,7.0
Lamar,Chi@Hou 01:00PM ET,7147386,Miller,Lamar Miller,Lamar Miller (7147386),CHI,RB,18.88,16.7,16.7,20.77,7000,HOU,1.0
Tyrod,Buf@Bal 01:00PM ET,7147232,Taylor,Tyrod Taylor,Tyrod Taylor (7147232),BAL,QB,18.86,19.2,19.2,22.03,6900,BUF,5.0
Devonta,TB@Atl 01:00PM ET,7147283,Freeman,Devonta Freeman,Devonta Freeman (7147283),TB,RB,16.35,17.3,17.3,17.8,6900,ATL,1.0
Sammy,Buf@Bal 01:00PM ET,7147628,Watkins,Sammy Watkins,Sammy Watkins (7147628),BAL,WR,17.09,16.4,16.4,19.55,6900,BUF,3.0
Tony,NYG@Dal 04:25PM ET,7147257,Romo,Tony Romo,Tony Romo (7147257),NYG,QB,0.0,0.0,0.0,0.0,6800,DAL,0.0
Andy,Cin@NYJ 01:00PM ET,7147206,Dalton,Andy Dalton,Andy Dalton (7147206),NYJ,QB,17.67,17.5,17.5,17.69,6800,CIN,6.0
Josh,Cle@Phi 01:00PM ET,7147520,Gordon,Josh Gordon,Josh Gordon (7147520),PHI,WR,0.0,0.0,0.0,0.0,6800,CLE,0.0
Joe,Buf@Bal 01:00PM ET,7147228,Flacco,Joe Flacco,Joe Flacco (7147228),BUF,QB,15.65,16.7,16.7,16.82,6700,BAL,7.0
Eddie,GB@Jax 01:00PM ET,7147402,Lacy,Eddie Lacy,Eddie Lacy (7147402),JAX,RB,13.98,13.1,13.1,18.63,6700,GB,3.0
Jordan,Cle@Phi 01:00PM ET,7147521,Matthews,Jordan Matthews,Jordan Matthews (7147521),CLE,WR,13.9,15.2,15.2,13.99,6700,PHI,4.0
Eric,Cin@NYJ 01:00PM ET,7147540,Decker,Eric Decker,Eric Decker (7147540),CIN,WR,15.37,15.2,15.2,15.26,6600,NYJ,4.0
Doug,Mia@Sea 04:05PM ET,7147683,Baldwin,Doug Baldwin,Doug Baldwin (7147683),MIA,WR,16.12,14.8,14.8,15.81,6600,SEA,4.0
Mark,Oak@NO 01:00PM ET,7147344,Ingram,Mark Ingram,Mark Ingram (7147344),OAK,RB,17.07,15.2,15.2,18.78,6600,NO,2.0
Jameis,TB@Atl 01:00PM ET,7147189,Winston,Jameis Winston,Jameis Winston (7147189),ATL,QB,18.88,18.5,18.5,19.26,6600,TB,6.0
Ryan,Cin@NYJ 01:00PM ET,7147205,Fitzpatrick,Ryan Fitzpatrick,Ryan Fitzpatrick (7147205),CIN,QB,17.35,15.8,15.8,17.02,6500,NYJ,0.0
Alex,SD@KC 01:00PM ET,7147220,Smith,Alex Smith,Alex Smith (7147220),SD,QB,17.44,18.0,18.0,14.91,6500,KC,6.0
Jeremy,SD@KC 01:00PM ET,7147586,Maclin,Jeremy Maclin,Jeremy Maclin (7147586),SD,WR,17.26,15.8,15.8,17.1,6500,KC,4.0
Sam,Cle@Phi 01:00PM ET,7147199,Bradford,Sam Bradford,Sam Bradford (7147199),CLE,QB,0.0,0.0,0.0,0.0,6400,PHI,0.0
LeSean,Buf@Bal 01:00PM ET,7147371,McCoy,LeSean McCoy,LeSean McCoy (7147371),BAL,RB,17.67,14.4,14.4,16.27,6400,BUF,2.0
Marcus,Min@Ten 01:00PM ET,7147195,Mariota,Marcus Mariota,Marcus Mariota (7147195),MIN,QB,18.67,17.5,17.5,18.48,6400,TEN,6.0
Jay,Chi@Hou 01:00PM ET,7147235,Cutler,Jay Cutler,Jay Cutler (7147235),HOU,QB,15.94,15.7,15.7,17.21,6300,CHI,0.0
Larry,NE@Ari 08:30PM ET,7147754,Fitzgerald,Larry Fitzgerald,Larry Fitzgerald (7147754),NE,WR,15.96,15.3,15.3,13.02,6300,ARI,4.0
Brock,Chi@Hou 01:00PM ET,7147238,Osweiler,Brock Osweiler,Brock Osweiler (7147238),CHI,QB,16.36,19.1,19.1,18.07,6300,HOU,5.0
Doug,TB@Atl 01:00PM ET,7147277,Martin,Doug Martin,Doug Martin (7147277),ATL,RB,17.35,13.5,13.5,17.73,6200,TB,3.0
Jimmy,NE@Ari 08:30PM ET,7147274,Garoppolo,Jimmy Garoppolo,Jimmy Garoppolo (7147274),ARI,QB,16.73,18.0,18.0,16.49,6200,NE,6.0
Matt,Cin@NYJ 01:00PM ET,7147322,Forte,Matt Forte,Matt Forte (7147322),CIN,RB,14.54,11.5,11.5,13.4,6100,NYJ,4.0
Julian,NE@Ari 08:30PM ET,7147756,Edelman,Julian Edelman,Julian Edelman (7147756),ARI,WR,16.09,15.5,15.5,14.75,6100,NE,4.0
Jarvis,Mia@Sea 04:05PM ET,7147693,Landry,Jarvis Landry,Jarvis Landry (7147693),SEA,WR,16.02,17.0,17.0,14.88,6000,MIA,3.0
Teddy,Min@Ten 01:00PM ET,7147192,Bridgewater,Teddy Bridgewater,Teddy Bridgewater (7147192),TEN,QB,0.0,0.0,0.0,0.0,6000,MIN,0.0
Thomas,Mia@Sea 04:05PM ET,7147418,Rawls,Thomas Rawls,Thomas Rawls (7147418),MIA,RB,7.43,5.0,5.0,10.67,6000,SEA,0.0
Donte,Det@Ind 04:25PM ET,7147743,Moncrief,Donte Moncrief,Donte Moncrief (7147743),DET,WR,15.28,15.8,15.8,15.57,6000,IND,4.0
Ryan,Mia@Sea 04:05PM ET,7147251,Tannehill,Ryan Tannehill,Ryan Tannehill (7147251),SEA,QB,14.99,15.2,15.2,15.83,5900,MIA,0.0
Michael,NE@Ari 08:30PM ET,7147757,Floyd,Michael Floyd,Michael Floyd (7147757),NE,WR,13.76,12.6,12.6,13.92,5900,ARI,5.0
Arian,Mia@Sea 04:05PM ET,7147411,Foster,Arian Foster,Arian Foster (7147411),SEA,RB,15.38,11.9,11.9,12.67,5800,MIA,4.0
Allen,GB@Jax 01:00PM ET,7147666,Hurns,Allen Hurns,Allen Hurns (7147666),GB,WR,13.08,12.0,12.0,11.74,5800,JAX,5.0
Ryan,Cle@Phi 01:00PM ET,7147310,Mathews,Ryan Mathews,Ryan Mathews (7147310),CLE,RB,14.74,12.0,12.0,14.17,5700,PHI,4.0
Dion,NE@Ari 08:30PM ET,7147460,Lewis,Dion Lewis,Dion Lewis (7147460),ARI,RB,0.0,0.0,0.0,0.0,5700,NE,0.0
Robert,Cle@Phi 01:00PM ET,7147202,Griffin III,Robert Griffin III,Robert Griffin III (7147202),PHI,QB,17.33,0.0,0.0,18.75,5600,CLE,0.0
Latavius,Oak@NO 01:00PM ET,7147345,Murray,Latavius Murray,Latavius Murray (7147345),NO,RB,14.77,14.6,14.6,12.49,5600,OAK,2.0
Frank,Det@Ind 04:25PM ET,7147441,Gore,Frank Gore,Frank Gore (7147441),DET,RB,10.92,10.8,10.8,13.09,5500,IND,5.0
Michael,Oak@NO 01:00PM ET,7147564,Crabtree,Michael Crabtree,Michael Crabtree (7147564),NO,WR,16.12,15.0,15.0,11.15,5500,OAK,4.0
Rashad,NYG@Dal 04:25PM ET,7147426,Jennings,Rashad Jennings,Rashad Jennings (7147426),DAL,RB,12.12,11.2,11.2,12.09,5400,NYG,4.0
DeMarco,Min@Ten 01:00PM ET,7147292,Murray,DeMarco Murray,DeMarco Murray (7147292),MIN,RB,12.56,10.2,10.2,12.27,5300,TEN,5.0
DeVante,Mia@Sea 04:05PM ET,7147695,Parker,DeVante Parker,DeVante Parker (7147695),SEA,WR,0.0,0.0,0.0,10.07,5300,MIA,0.0
John,NE@Ari 08:30PM ET,7147760,Brown,John Brown,John Brown (7147760),NE,WR,13.3,14.0,14.0,12.2,5200,ARI,5.0
Kevin,Chi@Hou 01:00PM ET,7147653,White,Kevin White,Kevin White (7147653),HOU,WR,10.67,10.2,10.2,9.87,5200,CHI,7.0
Mohamed,TB@Atl 01:00PM ET,7147475,Sanu,Mohamed Sanu,Mohamed Sanu (7147475),TB,WR,11.65,11.2,11.2,7.3,5100,ATL,7.0
Duke,Cle@Phi 01:00PM ET,7147319,Johnson,Duke Johnson,Duke Johnson (7147319),PHI,RB,11.19,13.1,13.1,10.49,5100,CLE,3.0
Corey,Cle@Phi 01:00PM ET,7147534,Coleman,Corey Coleman,Corey Coleman (7147534),PHI,WR,12.57,14.7,14.7,9.32,5100,CLE,4.0
Josh,Cle@Phi 01:00PM ET,7147197,McCown,Josh McCown,Josh McCown (7147197),PHI,QB,0.0,3.2,3.2,0.0,5000,CLE,0.0
Matt,Min@Ten 01:00PM ET,7147190,Cassel,Matt Cassel,Matt Cassel (7147190),MIN,QB,0.0,0.0,0.0,0.0,5000,TEN,0.0
Dan,Det@Ind 04:25PM ET,7147264,Orlovsky,Dan Orlovsky,Dan Orlovsky (7147264),IND,QB,0.0,0.0,0.0,0.0,5000,DET,0.0
Kellen,SD@KC 01:00PM ET,7147219,Clemens,Kellen Clemens,Kellen Clemens (7147219),KC,QB,0.0,0.0,0.0,0.0,5000,SD,0.0
Shaun,Min@Ten 01:00PM ET,7147191,Hill,Shaun Hill,Shaun Hill (7147191),TEN,QB,12.68,15.4,15.4,15.32,5000,MIN,0.0
Matt,Mia@Sea 04:05PM ET,7147250,Moore,Matt Moore,Matt Moore (7147250),SEA,QB,0.0,0.0,0.0,0.0,5000,MIA,0.0
Drew,NE@Ari 08:30PM ET,7147272,Stanton,Drew Stanton,Drew Stanton (7147272),NE,QB,0.0,0.0,0.0,0.0,5000,ARI,0.0
Matt,TB@Atl 01:00PM ET,7147184,Schaub,Matt Schaub,Matt Schaub (7147184),TB,QB,0.0,0.0,0.0,0.0,5000,ATL,0.0
Luke,Oak@NO 01:00PM ET,7147214,McCown,Luke McCown,Luke McCown (7147214),OAK,QB,0.0,0.0,0.0,0.0,5000,NO,0.0
Brian,Chi@Hou 01:00PM ET,7147236,Hoyer,Brian Hoyer,Brian Hoyer (7147236),HOU,QB,0.0,0.0,0.0,0.0,5000,CHI,0.0
Chad,GB@Jax 01:00PM ET,7147243,Henne,Chad Henne,Chad Henne (7147243),GB,QB,0.0,0.0,0.0,0.0,5000,JAX,0.0
Josh,Buf@Bal 01:00PM ET,7147229,Johnson,Josh Johnson,Josh Johnson (7147229),BUF,QB,0.0,0.0,0.0,0.0,5000,BAL,0.0
Chase,Cle@Phi 01:00PM ET,7147198,Daniel,Chase Daniel,Chase Daniel (7147198),CLE,QB,0.0,1.8,1.8,0.0,5000,PHI,0.0
Scott,Det@Ind 04:25PM ET,7147266,Tolzien,Scott Tolzien,Scott Tolzien (7147266),DET,QB,0.0,0.0,0.0,0.0,5000,IND,0.0
McLeod,Cle@Phi 01:00PM ET,7147200,Bethel-Thompson,McLeod Bethel-Thompson,McLeod Bethel-Thompson (7147200),CLE,QB,0.0,0.0,0.0,0.0,5000,PHI,0.0
Jerrod,Buf@Bal 01:00PM ET,7147230,Johnson,Jerrod Johnson,Jerrod Johnson (7147230),BUF,QB,0.0,0.0,0.0,0.0,5000,BAL,0.0
Danny,SD@KC 01:00PM ET,7147354,Woodhead,Danny Woodhead,Danny Woodhead (7147354),KC,RB,12.14,11.8,11.8,10.57,5000,SD,4.0
Ryan,Buf@Bal 01:00PM ET,7147231,Mallett,Ryan Mallett,Ryan Mallett (7147231),BUF,QB,0.0,0.0,0.0,0.0,5000,BAL,0.0
Kellen,NYG@Dal 04:25PM ET,7147259,Moore,Kellen Moore,Kellen Moore (7147259),NYG,QB,0.0,0.0,0.0,0.0,5000,DAL,0.0
Brandon,Chi@Hou 01:00PM ET,7147237,Weeden,Brandon Weeden,Brandon Weeden (7147237),CHI,QB,0.0,0.0,0.0,0.0,5000,HOU,0.0
Austin,Cle@Phi 01:00PM ET,7147201,Davis,Austin Davis,Austin Davis (7147201),PHI,QB,0.0,0.0,0.0,0.0,5000,CLE,0.0
Nick,SD@KC 01:00PM ET,7147222,Foles,Nick Foles,Nick Foles (7147222),SD,QB,0.0,0.0,0.0,0.0,5000,KC,0.0
Matt,TB@Atl 01:00PM ET,7147185,Simms,Matt Simms,Matt Simms (7147185),TB,QB,0.0,0.0,0.0,0.0,5000,ATL,0.0
Travis,SD@KC 01:00PM ET,7147843,Kelce,Travis Kelce,Travis Kelce (7147843),SD,TE,13.35,15.7,15.7,13.36,5000,KC,1.0
EJ,Buf@Bal 01:00PM ET,7147233,Manuel,EJ Manuel,EJ Manuel (7147233),BAL,QB,0.0,0.0,0.0,0.0,5000,BUF,0.0
Sean,TB@Atl 01:00PM ET,7147186,Renfree,Sean Renfree,Sean Renfree (7147186),TB,QB,0.0,0.0,0.0,0.0,5000,ATL,0.0
Mike,TB@Atl 01:00PM ET,7147187,Glennon,Mike Glennon,Mike Glennon (7147187),ATL,QB,0.0,0.0,0.0,0.0,5000,TB,0.0
Ryan,NYG@Dal 04:25PM ET,7147260,Nassib,Ryan Nassib,Ryan Nassib (7147260),DAL,QB,0.0,0.0,0.0,0.0,5000,NYG,0.0
Ryan,TB@Atl 01:00PM ET,7147188,Griffin,Ryan Griffin,Ryan Griffin (7147188),ATL,QB,0.0,0.0,0.0,0.0,5000,TB,0.0
Zac,Mia@Sea 04:05PM ET,7147253,Dysert,Zac Dysert,Zac Dysert (7147253),SEA,QB,0.0,0.0,0.0,0.0,5000,MIA,0.0
Matt,Oak@NO 01:00PM ET,7147215,McGloin,Matt McGloin,Matt McGloin (7147215),NO,QB,0.0,0.0,0.0,0.0,5000,OAK,0.0
Matt,NE@Ari 08:30PM ET,7147273,Barkley,Matt Barkley,Matt Barkley (7147273),NE,QB,0.0,0.0,0.0,0.0,5000,ARI,0.0
Zach,SD@KC 01:00PM ET,7147223,Mettenberger,Zach Mettenberger,Zach Mettenberger (7147223),KC,QB,0.0,0.0,0.0,0.0,5000,SD,0.0
Aaron,SD@KC 01:00PM ET,7147224,Murray,Aaron Murray,Aaron Murray (7147224),SD,QB,0.0,0.0,0.0,0.0,5000,KC,0.0
Bryce,Cin@NYJ 01:00PM ET,7147207,Petty,Bryce Petty,Bryce Petty (7147207),CIN,QB,0.0,0.0,0.0,0.0,5000,NYJ,0.0
Logan,NYG@Dal 04:25PM ET,7147261,Thomas,Logan Thomas,Logan Thomas (7147261),DAL,QB,0.0,0.0,0.0,0.0,5000,NYG,0.0
AJ,Cin@NYJ 01:00PM ET,7147208,McCarron,AJ McCarron,AJ McCarron (7147208),NYJ,QB,0.0,0.0,0.0,0.0,5000,CIN,0.0
Tom,Chi@Hou 01:00PM ET,7147239,Savage,Tom Savage,Tom Savage (7147239),CHI,QB,0.0,0.0,0.0,0.0,5000,HOU,0.0
David,Chi@Hou 01:00PM ET,7147240,Fales,David Fales,David Fales (7147240),HOU,QB,0.0,0.0,0.0,0.0,5000,CHI,0.0
Geno,Cin@NYJ 01:00PM ET,7147209,Smith,Geno Smith,Geno Smith (7147209),CIN,QB,0.0,0.0,0.0,0.0,5000,NYJ,0.0
Stephen,Det@Ind 04:25PM ET,7147268,Morris,Stephen Morris,Stephen Morris (7147268),DET,QB,0.0,0.0,0.0,0.0,5000,IND,0.0
Jake,Mia@Sea 04:05PM ET,7147254,Heaps,Jake Heaps,Jake Heaps (7147254),MIA,QB,0.0,0.0,0.0,0.0,5000,SEA,0.0
Garrett,Oak@NO 01:00PM ET,7147217,Grayson,Garrett Grayson,Garrett Grayson (7147217),OAK,QB,0.0,0.0,0.0,0.0,5000,NO,0.0
Keith,Cin@NYJ 01:00PM ET,7147210,Wenning,Keith Wenning,Keith Wenning (7147210),NYJ,QB,0.0,0.0,0.0,0.0,5000,CIN,0.0
Tyler,SD@KC 01:00PM ET,7147225,Bray,Tyler Bray,Tyler Bray (7147225),SD,QB,0.0,0.0,0.0,0.0,5000,KC,0.0
Connor,Chi@Hou 01:00PM ET,7147241,Shaw,Connor Shaw,Connor Shaw (7147241),HOU,QB,0.0,0.0,0.0,0.0,5000,CHI,0.0
Jameill,NYG@Dal 04:25PM ET,7147262,Showers,Jameill Showers,Jameill Showers (7147262),NYG,QB,0.0,0.0,0.0,0.0,5000,DAL,0.0
Brandon,Mia@Sea 04:05PM ET,7147255,Doughty,Brandon Doughty,Brandon Doughty (7147255),SEA,QB,0.0,0.0,0.0,0.0,5000,MIA,0.0
Brett,GB@Jax 01:00PM ET,7147245,Hundley,Brett Hundley,Brett Hundley (7147245),JAX,QB,0.0,0.0,0.0,0.0,5000,GB,0.0
Dak,NYG@Dal 04:25PM ET,7147263,Prescott,Dak Prescott,Dak Prescott (7147263),NYG,QB,18.73,19.5,19.5,18.14,5000,DAL,5.0
Cody,Cle@Phi 01:00PM ET,7147203,Kessler,Cody Kessler,Cody Kessler (7147203),PHI,QB,0.0,0.0,0.0,0.0,5000,CLE,0.0
Max,GB@Jax 01:00PM ET,7147246,Wittek,Max Wittek,Max Wittek (7147246),GB,QB,0.0,0.0,0.0,0.0,5000,JAX,0.0
Mike,SD@KC 01:00PM ET,7147226,Bercovici,Mike Bercovici,Mike Bercovici (7147226),KC,QB,0.0,0.0,0.0,0.0,5000,SD,0.0
Marquise,GB@Jax 01:00PM ET,7147247,Williams,Marquise Williams,Marquise Williams (7147247),JAX,QB,0.0,0.0,0.0,0.0,5000,GB,0.0
Joel,Min@Ten 01:00PM ET,7147193,Stave,Joel Stave,Joel Stave (7147193),TEN,QB,0.0,0.0,0.0,0.0,5000,MIN,0.0
Kevin,SD@KC 01:00PM ET,7147227,Hogan,Kevin Hogan,Kevin Hogan (7147227),SD,QB,0.0,0.0,0.0,0.0,5000,KC,0.0
Taylor,Min@Ten 01:00PM ET,7147194,Heinicke,Taylor Heinicke,Taylor Heinicke (7147194),TEN,QB,0.0,0.0,0.0,0.0,5000,MIN,0.0
Trevone,Mia@Sea 04:05PM ET,7147256,Boykin,Trevone Boykin,Trevone Boykin (7147256),MIA,QB,0.0,1.4,1.4,0.0,5000,SEA,0.0
Brandon,GB@Jax 01:00PM ET,7147248,Allen,Brandon Allen,Brandon Allen (7147248),GB,QB,0.0,0.0,0.0,0.0,5000,JAX,0.0
Tyler,Mia@Sea 04:05PM ET,7147698,Lockett,Tyler Lockett,Tyler Lockett (7147698),MIA,WR,12.75,13.5,13.5,11.71,5000,SEA,5.0
Jake,NE@Ari 08:30PM ET,7147275,Coker,Jake Coker,Jake Coker (7147275),NE,QB,0.0,0.0,0.0,0.0,5000,ARI,0.0
Connor,Oak@NO 01:00PM ET,7147218,Cook,Connor Cook,Connor Cook (7147218),NO,QB,0.0,0.0,0.0,0.0,5000,OAK,0.0
Jacoby,NE@Ari 08:30PM ET,7147276,Brissett,Jacoby Brissett,Jacoby Brissett (7147276),ARI,QB,0.0,0.0,0.0,0.0,5000,NE,0.0
Joe,Cin@NYJ 01:00PM ET,7147211,Licata,Joe Licata,Joe Licata (7147211),NYJ,QB,0.0,0.0,0.0,0.0,5000,CIN,0.0
Jake,Det@Ind 04:25PM ET,7147269,Rudock,Jake Rudock,Jake Rudock (7147269),IND,QB,0.0,0.0,0.0,0.0,5000,DET,0.0
Carson,Cle@Phi 01:00PM ET,7147204,Wentz,Carson Wentz,Carson Wentz (7147204),CLE,QB,15.51,17.9,17.9,15.74,5000,PHI,6.0
Alex,Min@Ten 01:00PM ET,7147196,Tanney,Alex Tanney,Alex Tanney (7147196),MIN,QB,0.0,0.0,0.0,0.0,5000,TEN,0.0
Joe,GB@Jax 01:00PM ET,7147249,Callahan,Joe Callahan,Joe Callahan (7147249),JAX,QB,0.0,0.0,0.0,0.0,5000,GB,0.0
Cardale,Buf@Bal 01:00PM ET,7147234,Jones,Cardale Jones,Cardale Jones (7147234),BAL,QB,0.0,0.0,0.0,0.0,5000,BUF,0.0
Christian,Cin@NYJ 01:00PM ET,7147212,Hackenberg,Christian Hackenberg,Christian Hackenberg (7147212),CIN,QB,0.0,0.0,0.0,0.0,5000,NYJ,0.0
Steve,Buf@Bal 01:00PM ET,7147609,Smith,Steve Smith,Steve Smith (7147609),BUF,WR,11.05,11.5,11.5,11.04,4900,BAL,6.0
Coby,Oak@NO 01:00PM ET,7147830,Fleener,Coby Fleener,Coby Fleener (7147830),OAK,TE,14.87,13.2,13.2,10.53,4900,NO,2.0
Ameer,Det@Ind 04:25PM ET,7147449,Abdullah,Ameer Abdullah,Ameer Abdullah (7147449),IND,RB,11.8,10.4,10.4,11.65,4900,DET,5.0
Sterling,NYG@Dal 04:25PM ET,7147720,Shepard,Sterling Shepard,Sterling Shepard (7147720),DAL,WR,12.47,12.8,12.8,12.28,4900,NYG,5.0
James,GB@Jax 01:00PM ET,7147398,Starks,James Starks,James Starks (7147398),JAX,RB,7.85,6.0,6.0,4.07,4800,GB,0.0
Giovani,Cin@NYJ 01:00PM ET,7147331,Bernard,Giovani Bernard,Giovani Bernard (7147331),NYJ,RB,10.0,10.6,10.6,11.16,4800,CIN,5.0
Willie,Oak@NO 01:00PM ET,7147570,Snead,Willie Snead,Willie Snead (7147570),OAK,WR,12.5,12.7,12.7,9.26,4800,NO,5.0
Stefon,Min@Ten 01:00PM ET,7147508,Diggs,Stefon Diggs,Stefon Diggs (7147508),TEN,WR,13.3,11.6,11.6,10.29,4800,MIN,6.0
Gary,Cle@Phi 01:00PM ET,7147803,Barnidge,Gary Barnidge,Gary Barnidge (7147803),PHI,TE,12.98,12.0,12.0,11.93,4700,CLE,3.0
Kamar,Buf@Bal 01:00PM ET,7147616,Aiken,Kamar Aiken,Kamar Aiken (7147616),BUF,WR,11.88,9.0,9.0,11.72,4700,BAL,0.0
Tyler,Cin@NYJ 01:00PM ET,7147820,Eifert,Tyler Eifert,Tyler Eifert (7147820),NYJ,TE,0.0,0.0,0.0,0.0,4700,CIN,0.0
Jeremy,Chi@Hou 01:00PM ET,7147391,Langford,Jeremy Langford,Jeremy Langford (7147391),HOU,RB,11.37,9.9,9.9,11.3,4700,CHI,6.0
Justin,Buf@Bal 01:00PM ET,7147369,Forsett,Justin Forsett,Justin Forsett (7147369),BUF,RB,12.47,8.5,8.5,10.1,4600,BAL,0.0
Marvin,Det@Ind 04:25PM ET,7147733,Jones,Marvin Jones,Marvin Jones (7147733),IND,WR,13.25,13.2,13.2,13.34,4600,DET,5.0
